날짜,시간,구장,경기  홈팀원정팀,구분
2023.01.01 일,14:00,고양 소노 아레나,종료  고양 캐롯  77  수원 KT  90,정규시즌
2023.01.01 일,14:00,잠실실내체육관,종료  서울 삼성  67  서울 SK  86,정규시즌
2023.01.01 일,16:00,창원체육관,종료  창원 LG  73  울산 현대모비스  77,정규시즌
2023.01.02 월,19:00,원주종합체육관,종료  원주 DB  70  안양 정관장  86,정규시즌
2023.01.03 화,19:00,군산월명체육관,종료  부산 KCC  79  고양 캐롯  72,정규시즌
2023.01.04 수,19:00,잠실학생체육관,종료  서울 SK  97  원주 DB  63,정규시즌
2023.01.05 목,19:00,고양 소노 아레나,종료  고양 캐롯  80  울산 현대모비스  77,정규시즌
2023.01.05 목,19:00,잠실실내체육관,종료  서울 삼성  68  창원 LG  79,정규시즌
2023.01.06 금,19:00,군산월명체육관,종료  부산 KCC  70  서울 SK  78,정규시즌
2023.01.06 금,19:00,안양 정관장 아레나,종료  안양 정관장  83  수원 KT  85,정규시즌
2023.01.07 토,14:00,울산동천체육관,종료  울산 현대모비스  90  원주 DB  94,정규시즌
2023.01.07 토,14:00,창원체육관,종료  창원 LG  64  고양 캐롯  73,정규시즌
2023.01.07 토,16:00,대구체육관,종료  대구 한국가스공사  83  서울 삼성  77,정규시즌
2023.01.08 일,14:00,울산동천체육관,종료  울산 현대모비스  89  수원 KT  83,정규시즌
2023.01.08 일,14:00,안양 정관장 아레나,종료  안양 정관장  83  서울 SK  80,정규시즌
2023.01.08 일,16:00,잠실실내체육관,종료  서울 삼성  58  부산 KCC  68,정규시즌
2023.01.09 월,19:00,고양 소노 아레나,종료  고양 캐롯  87  대구 한국가스공사  76,정규시즌
2023.01.10 화,19:00,수원 KT 아레나,종료  수원 KT  60  부산 KCC  79,정규시즌
2023.01.10 화,19:00,잠실학생체육관,종료  서울 SK  61  창원 LG  85,정규시즌
2023.01.11 수,19:00,울산동천체육관,종료  울산 현대모비스  86  안양 정관장  100,정규시즌
2023.01.12 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.13 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.14 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.15 일,14:00,수원 KT 아레나,종료  팀 허웅  117  팀 이대성  122,올스타전
2023.01.16 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.17 화,19:00,원주종합체육관,종료  원주 DB  81  창원 LG  82,정규시즌
2023.01.18 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.19 목,19:00,고양 소노 아레나,종료  고양 캐롯  87  원주 DB  72,정규시즌
2023.01.19 목,19:00,잠실실내체육관,종료  서울 삼성  66  수원 KT  77,정규시즌
2023.01.20 금,19:00,창원체육관,종료  창원 LG  69  대구 한국가스공사  64,정규시즌
2023.01.20 금,19:00,울산동천체육관,종료  울산 현대모비스  66  부산 KCC  64,정규시즌
2023.01.21 토,14:00,수원 KT 아레나,종료  수원 KT  73  서울 SK  76,정규시즌
2023.01.21 토,14:00,고양 소노 아레나,종료  고양 캐롯  85  안양 정관장  65,정규시즌
2023.01.21 토,16:00,잠실실내체육관,종료  서울 삼성  82  원주 DB  85,정규시즌
2023.01.22 일,14:00,대구체육관,종료  대구 한국가스공사  86  울산 현대모비스  93,정규시즌
2023.01.22 일,14:00,창원체육관,종료  창원 LG  93  부산 KCC  74,정규시즌
2023.01.22 일,16:00,안양 정관장 아레나,종료  안양 정관장  91  서울 삼성  66,정규시즌
2023.01.23 월,14:00,원주종합체육관,종료  원주 DB  80  수원 KT  76,정규시즌
2023.01.23 월,16:00,잠실학생체육관,종료  서울 SK  82  고양 캐롯  80,정규시즌
2023.01.24 화,14:00,울산동천체육관,종료  울산 현대모비스  82  창원 LG  75,정규시즌
2023.01.24 화,16:00,전주실내체육관,종료  부산 KCC  67  대구 한국가스공사  72,정규시즌
2023.01.25 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.01.26 목,19:00,원주종합체육관,종료  원주 DB  71  대구 한국가스공사  65,정규시즌
2023.01.27 금,19:00,잠실실내체육관,종료  서울 삼성  70  울산 현대모비스  85,정규시즌
2023.01.27 금,19:00,수원 KT 아레나,종료  수원 KT  90  고양 캐롯  76,정규시즌
2023.01.28 토,14:00,잠실학생체육관,종료  서울 SK  118  대구 한국가스공사  116,정규시즌
2023.01.28 토,14:00,창원체육관,종료  창원 LG  68  안양 정관장  63,정규시즌
2023.01.28 토,16:00,원주종합체육관,종료  원주 DB  89  부산 KCC  73,정규시즌
2023.01.29 일,14:00,수원 KT 아레나,종료  수원 KT  80  창원 LG  81,정규시즌
2023.01.29 일,14:00,안양 정관장 아레나,종료  안양 정관장  87  대구 한국가스공사  85,정규시즌
2023.01.29 일,16:00,울산동천체육관,종료  울산 현대모비스  79  서울 SK  65,정규시즌
2023.01.30 월,19:00,고양 소노 아레나,종료  고양 캐롯  68  서울 삼성  65,정규시즌
2023.01.31 화,19:00,수원 KT 아레나,종료  수원 KT  88  대구 한국가스공사  84,정규시즌
2023.01.31 화,19:00,전주실내체육관,종료  부산 KCC  81  안양 정관장  83,정규시즌
2023.02.01 수,19:00,잠실학생체육관,종료  서울 SK  72  창원 LG  75,정규시즌
2023.02.02 목,19:00,고양 소노 아레나,종료  고양 캐롯  65  안양 정관장  82,정규시즌
2023.02.02 목,19:00,잠실실내체육관,종료  서울 삼성  73  수원 KT  70,정규시즌
2023.02.03 금,19:00,창원체육관,종료  창원 LG  76  원주 DB  74,정규시즌
2023.02.04 토,14:00,안양 정관장 아레나,종료  안양 정관장  64  서울 삼성  61,정규시즌
2023.02.04 토,14:00,울산동천체육관,종료  울산 현대모비스  82  고양 캐롯  84,정규시즌
2023.02.04 토,16:00,대구체육관,종료  대구 한국가스공사  73  수원 KT  76,정규시즌
2023.02.05 일,14:00,울산동천체육관,종료  울산 현대모비스  80  원주 DB  71,정규시즌
2023.02.05 일,14:00,전주실내체육관,종료  부산 KCC  87  창원 LG  64,정규시즌
2023.02.05 일,16:00,잠실학생체육관,종료  서울 SK  96  고양 캐롯  83,정규시즌
2023.02.06 월,19:00,수원 KT 아레나,종료  수원 KT  84  안양 정관장  87,정규시즌
2023.02.07 화,19:00,잠실학생체육관,종료  서울 SK  73  울산 현대모비스  68,정규시즌
2023.02.08 수,19:00,대구체육관,종료  대구 한국가스공사  102  창원 LG  108,정규시즌
2023.02.09 목,19:00,안양 정관장 아레나,종료  안양 정관장  80  원주 DB  70,정규시즌
2023.02.09 목,19:00,전주실내체육관,종료  부산 KCC  70  울산 현대모비스  76,정규시즌
2023.02.10 금,19:00,창원체육관,종료  창원 LG  96  서울 삼성  78,정규시즌
2023.02.10 금,19:00,고양 소노 아레나,종료  고양 캐롯  83  수원 KT  67,정규시즌
2023.02.11 토,14:00,잠실학생체육관,종료  서울 SK  89  대구 한국가스공사  85,정규시즌
2023.02.11 토,16:00,안양 정관장 아레나,종료  안양 정관장  95  울산 현대모비스  83,정규시즌
2023.02.12 일,14:00,잠실학생체육관,종료  서울 SK  84  창원 LG  94,정규시즌
2023.02.12 일,14:00,수원 KT 아레나,종료  수원 KT  86  부산 KCC  73,정규시즌
2023.02.12 일,16:00,대구체육관,종료  대구 한국가스공사  64  안양 정관장  70,정규시즌
2023.02.13 월,19:00,잠실실내체육관,종료  서울 삼성  83  원주 DB  77,정규시즌
2023.02.14 화,19:00,잠실학생체육관,종료  서울 SK  91  수원 KT  82,정규시즌
2023.02.15 수,19:00,안양 정관장 아레나,종료  안양 정관장  89  창원 LG  67,정규시즌
2023.02.16 목,19:00,대구체육관,종료  대구 한국가스공사  77  울산 현대모비스  84,정규시즌
2023.02.16 목,19:00,잠실실내체육관,종료  서울 삼성  113  서울 SK  115,정규시즌
2023.02.17 금,19:00,창원체육관,종료  창원 LG  85  고양 캐롯  68,정규시즌
2023.02.17 금,19:00,안양 정관장 아레나,종료  안양 정관장  88  부산 KCC  79,정규시즌
2023.02.18 토,14:00,원주종합체육관,종료  원주 DB  73  서울 SK  92,정규시즌
2023.02.18 토,14:00,잠실실내체육관,종료  서울 삼성  66  대구 한국가스공사  89,정규시즌
2023.02.18 토,16:00,울산동천체육관,종료  울산 현대모비스  69  수원 KT  59,정규시즌
2023.02.19 일,14:00,고양 소노 아레나,종료  고양 캐롯  92  서울 삼성  86,정규시즌
2023.02.19 일,14:00,대구체육관,종료  대구 한국가스공사  81  부산 KCC  79,정규시즌
2023.02.19 일,16:00,잠실학생체육관,종료  서울 SK  85  안양 정관장  79,정규시즌
2023.02.20 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.21 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.22 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.23 목,19:00,전주실내체육관,종료  부산 KCC  73  서울 SK  68,정규시즌
2023.02.24 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.25 토,14:00,원주종합체육관,종료  원주 DB  71  부산 KCC  75,정규시즌
2023.02.26 일,14:00,안양 정관장 아레나,종료  안양 정관장  73  대구 한국가스공사  64,정규시즌
2023.02.27 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.02.28 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.01 수,14:00,전주실내체육관,종료  부산 KCC  79  서울 삼성  73,정규시즌
2023.03.01 수,14:00,대구체육관,종료  대구 한국가스공사  83  고양 캐롯  76,정규시즌
2023.03.01 수,16:00,수원 KT 아레나,종료  수원 KT  77  원주 DB  65,정규시즌
2023.03.02 목,19:00,울산동천체육관,종료  울산 현대모비스  80  창원 LG  94,정규시즌
2023.03.03 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.04 토,14:00,원주종합체육관,종료  원주 DB  81  대구 한국가스공사  78,정규시즌
2023.03.04 토,14:00,고양 소노 아레나,종료  고양 캐롯  80  부산 KCC  60,정규시즌
2023.03.04 토,16:00,잠실실내체육관,종료  서울 삼성  88  울산 현대모비스  92,정규시즌
2023.03.04 토,16:00,창원체육관,종료  창원 LG  84  수원 KT  67,정규시즌
2023.03.05 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.06 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.07 화,19:00,원주종합체육관,종료  원주 DB  91  고양 캐롯  96,정규시즌
2023.03.08 수,19:00,잠실학생체육관,종료  서울 SK  94  수원 KT  91,정규시즌
2023.03.09 목,19:00,전주실내체육관,종료  부산 KCC  57  창원 LG  87,정규시즌
2023.03.09 목,19:00,대구체육관,종료  대구 한국가스공사  86  고양 캐롯  80,정규시즌
2023.03.10 금,19:00,울산동천체육관,종료  울산 현대모비스  75  서울 SK  85,정규시즌
2023.03.10 금,19:00,잠실실내체육관,종료  서울 삼성  82  안양 정관장  79,정규시즌
2023.03.11 토,15:00,고양 소노 아레나,종료  고양 캐롯  92  창원 LG  83,정규시즌
2023.03.11 토,15:00,전주실내체육관,종료  부산 KCC  84  원주 DB  64,정규시즌
2023.03.11 토,17:00,대구체육관,종료  대구 한국가스공사  83  수원 KT  86,정규시즌
2023.03.12 일,15:00,전주실내체육관,종료  부산 KCC  78  서울 삼성  75,정규시즌
2023.03.12 일,15:00,잠실학생체육관,종료  서울 SK  74  안양 정관장  73,정규시즌
2023.03.12 일,17:00,원주종합체육관,종료  원주 DB  66  울산 현대모비스  84,정규시즌
2023.03.13 월,19:00,수원 KT 아레나,종료  수원 KT  72  고양 캐롯  76,정규시즌
2023.03.14 화,19:00,울산동천체육관,종료  울산 현대모비스  86  대구 한국가스공사  75,정규시즌
2023.03.15 수,19:00,고양 소노 아레나,종료  고양 캐롯  67  부산 KCC  76,정규시즌
2023.03.16 목,19:00,잠실실내체육관,종료  서울 삼성  58  원주 DB  71,정규시즌
2023.03.16 목,19:00,안양 정관장 아레나,종료  안양 정관장  75  창원 LG  76,정규시즌
2023.03.17 금,19:00,대구체육관,종료  대구 한국가스공사  105  서울 SK  107,정규시즌
2023.03.17 금,19:00,울산동천체육관,종료  울산 현대모비스  79  부산 KCC  68,정규시즌
2023.03.18 토,15:00,잠실실내체육관,종료  서울 삼성  76  창원 LG  77,정규시즌
2023.03.18 토,17:00,원주종합체육관,종료  원주 DB  68  고양 캐롯  57,정규시즌
2023.03.18 토,17:00,안양 정관장 아레나,종료  안양 정관장  76  수원 KT  68,정규시즌
2023.03.19 일,17:00,잠실실내체육관,종료  서울 삼성  72  서울 SK  78,정규시즌
2023.03.19 일,17:00,수원 KT 아레나,종료  수원 KT  77  울산 현대모비스  92,정규시즌
2023.03.19 일,19:00,창원체육관,종료  창원 LG  59  원주 DB  65,정규시즌
2023.03.20 월,19:00,안양 정관장 아레나,종료  안양 정관장  98  부산 KCC  74,정규시즌
2023.03.21 화,19:00,울산동천체육관,종료  울산 현대모비스  98  서울 삼성  80,정규시즌
2023.03.22 수,19:00,잠실학생체육관,종료  서울 SK  88  고양 캐롯  73,정규시즌
2023.03.23 목,19:00,창원체육관,종료  창원 LG  83  대구 한국가스공사  79,정규시즌
2023.03.23 목,19:00,원주종합체육관,종료  원주 DB  82  수원 KT  70,정규시즌
2023.03.24 금,19:00,잠실학생체육관,종료  서울 SK  95  부산 KCC  91,정규시즌
2023.03.24 금,19:00,울산동천체육관,종료  울산 현대모비스  94  안양 정관장  89,정규시즌
2023.03.25 토,17:00,수원 KT 아레나,종료  수원 KT  80  창원 LG  85,정규시즌
2023.03.25 토,17:00,잠실실내체육관,종료  서울 삼성  66  고양 캐롯  88,정규시즌
2023.03.25 토,19:00,원주종합체육관,종료  원주 DB  84  대구 한국가스공사  83,정규시즌
2023.03.26 일,17:00,전주실내체육관,종료  부산 KCC  89  수원 KT  88,정규시즌
2023.03.26 일,17:00,창원체육관,종료  창원 LG  69  서울 SK  74,정규시즌
2023.03.26 일,19:00,안양 정관장 아레나,종료  안양 정관장  76  원주 DB  71,정규시즌
2023.03.27 월,19:00,고양 소노 아레나,종료  고양 캐롯  83  울산 현대모비스  88,정규시즌
2023.03.27 월,19:00,잠실실내체육관,종료  서울 삼성  78  대구 한국가스공사  57,정규시즌
2023.03.28 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.29 수,19:00,잠실학생체육관,종료  서울 SK  86  원주 DB  75,정규시즌
2023.03.29 수,19:00,창원체육관,종료  창원 LG  97  울산 현대모비스  88,정규시즌
2023.03.29 수,19:00,수원 KT 아레나,종료  수원 KT  84  서울 삼성  81,정규시즌
2023.03.29 수,19:00,전주실내체육관,종료  부산 KCC  57  대구 한국가스공사  75,정규시즌
2023.03.29 수,19:00,고양 소노 아레나,종료  고양 캐롯  101  안양 정관장  72,정규시즌
2023.03.30 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.31 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.01 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.02 일,18:00,울산동천체육관,종료  울산 현대모비스  86  고양 캐롯  71,플레이오프
2023.04.03 월,19:00,잠실학생체육관,종료  서울 SK  89  부산 KCC  73,플레이오프
2023.04.04 화,19:00,울산동천체육관,종료  울산 현대모비스  79  고양 캐롯  86,플레이오프
2023.04.05 수,19:00,잠실학생체육관,종료  서울 SK  98  부산 KCC  92,플레이오프
2023.04.06 목,19:00,고양 소노 아레나,종료  고양 캐롯  69  울산 현대모비스  84,플레이오프
2023.04.07 금,19:00,전주실내체육관,종료  부산 KCC  72  서울 SK  77,플레이오프
2023.04.08 토,14:00,고양 소노 아레나,종료  고양 캐롯  87  울산 현대모비스  80,플레이오프
2023.04.09 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.10 월,19:00,울산동천체육관,종료  울산 현대모비스  71  고양 캐롯  77,플레이오프
2023.04.11 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.12 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.13 목,19:00,안양 정관장 아레나,종료  안양 정관장  99  고양 캐롯  43,플레이오프
2023.04.14 금,19:00,창원체육관,종료  창원 LG  68  서울 SK  73,플레이오프
2023.04.15 토,14:00,안양 정관장 아레나,종료  안양 정관장  75  고양 캐롯  89,플레이오프
2023.04.16 일,18:00,창원체육관,종료  창원 LG  91  서울 SK  92,플레이오프
2023.04.17 월,19:00,고양 소노 아레나,종료  고양 캐롯  72  안양 정관장  76,플레이오프
2023.04.18 화,19:00,잠실학생체육관,종료  서울 SK  85  창원 LG  84,플레이오프
2023.04.19 수,19:00,고양 소노 아레나,종료  고양 캐롯  61  안양 정관장  89,플레이오프
2023.04.20 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.21 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.22 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.23 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.24 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.25 화,19:00,안양 정관장 아레나,종료  안양 정관장  69  서울 SK  77,챔피언결정전
2023.04.26 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.27 목,19:00,안양 정관장 아레나,종료  안양 정관장  81  서울 SK  67,챔피언결정전
2023.04.28 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.29 토,14:00,잠실학생체육관,종료  서울 SK  70  안양 정관장  81,챔피언결정전
2023.04.30 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.01 월,19:00,잠실학생체육관,종료  서울 SK  100  안양 정관장  91,챔피언결정전
2023.05.02 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.03 수,19:00,잠실학생체육관,종료  서울 SK  66  안양 정관장  60,챔피언결정전
2023.05.04 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.05 금,18:00,안양 정관장 아레나,종료  안양 정관장  86  서울 SK  77,챔피언결정전
2023.05.06 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.07 일,18:00,안양 정관장 아레나,종료  안양 정관장  100  서울 SK  97,챔피언결정전
2023.05.08 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.09 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.10 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.11 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.12 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.13 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.14 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.15 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.16 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.17 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.18 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.19 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.20 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.21 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.22 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.23 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.24 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.25 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.26 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.27 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.28 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.29 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.30 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.05.31 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.01 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.02 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.03 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.04 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.05 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.06 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.07 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.08 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.09 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.10 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.11 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.12 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.13 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.14 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.15 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.16 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.17 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.18 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.19 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.20 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.21 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.22 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.23 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.24 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.25 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.26 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.27 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.28 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
